DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
831,19030921,    0,     ,
831,19030922,    0,     ,
831,19030923,    0,     ,
831,19030924,    0,     ,
831,19030925,    0,     ,
831,19030926,   11,     ,
831,19030927,    0,     ,
831,19030928,   14,     ,
831,19030929,    0,     ,
831,19030930,    0,     ,
831,19031001,   47,     ,
831,19031002,  145,     ,
831,19031003,   97,     ,
831,19031004,    1,     ,
831,19031005,   75,     ,
831,19031006,   58,     ,
831,19031007,   24,     ,
831,19031008,    0,     ,
831,19031009,   37,     ,
831,19031010,   46,     ,
831,19031011,   35,     ,
831,19031012,   71,     ,
831,19031013,  223,     ,
831,19031014,   44,     ,
831,19031015,    5,     ,
831,19031016,  121,     ,
831,19031017,   24,     ,
831,19031018,   65,     ,
831,19031019,    4,     ,
831,19031020,    0,     ,
831,19031021,    2,     ,
831,19031022,   48,     ,
831,19031023,    1,     ,
831,19031024,   11,     ,
831,19031025,   12,     ,
831,19031026,    0,     ,
831,19031027,    5,     ,
831,19031028,    3,     ,
831,19031029,   12,     ,
831,19031030,    0,     ,
831,19031031,   17,     ,
831,19031101,    6,     ,
831,19031102,    7,     ,
831,19031103,    0,     ,
831,19031104,    2,     ,
831,19031105,    0,     ,
831,19031106,    0,     ,
831,19031107,    0,     ,
831,19031108,    0,     ,
831,19031109,    0,     ,
831,19031110,   30,     ,
831,19031111,   35,     ,
831,19031112,    0,     ,
831,19031113,   65,     ,
831,19031114,    0,     ,
831,19031115,   15,     ,
831,19031116,   15,     ,
831,19031117,   18,     ,
831,19031118,   70,     ,
831,19031119,    0,     ,
831,19031120,    0,     ,
831,19031121,   36,     ,
831,19031122,   43,     ,
831,19031123,   13,     ,
831,19031124,   18,     ,
831,19031125,   38,     ,
831,19031126,   86,     ,
831,19031127,   38,     ,
831,19031128,  142,     ,
831,19031129,  102,     ,
831,19031130,    0,     ,
831,19031201,    0,     ,
831,19031202,    0,     ,
831,19031203,    0,     ,
831,19031204,    0,     ,
831,19031205,    6,     ,
831,19031206,   81,     ,
831,19031207,    0,     ,
831,19031208,   31,     ,
831,19031209,   25,     ,
831,19031210,   77,     ,
831,19031211,    0,     ,
831,19031212,    0,     ,
831,19031213,    0,     ,
831,19031214,    0,     ,
831,19031215,    0,     ,
831,19031216,    0,     ,
831,19031217,    0,     ,
